model,clip_id,segment_id,speaker_id,condition,noise_type,snr_db,ratio_english_words,ratio_hindi_words,reference,hypothesis,wer,cer,latency_sec
xlsr_wav2vec2,clip_0000,598753_406yMKxIdSDHRf8H_0069,598753,clean,none,clean,0.4444444444444444,0.5555555555555556,context menu खोलने के लिए अब right click करें,े के लिए अब राईट टलेक करे,0.6666666666666666,0.6222222222222222,0.4355168342590332
xlsr_wav2vec2,clip_0000,598753_406yMKxIdSDHRf8H_0069,598753,traffic,traffic,15,0.4444444444444444,0.5555555555555556,context menu खोलने के लिए अब right click करें,े के लिए अब राईट कलेक करेपप,0.6666666666666666,0.6444444444444445,0.08440279960632324
xlsr_wav2vec2,clip_0000,598753_406yMKxIdSDHRf8H_0069,598753,traffic,traffic,10,0.4444444444444444,0.5555555555555556,context menu खोलने के लिए अब right click करें,े के लिय अब राईट पलेक करेाााााा,0.7777777777777778,0.7555555555555555,0.08584952354431152
xlsr_wav2vec2,clip_0000,598753_406yMKxIdSDHRf8H_0069,598753,traffic,traffic,5,0.4444444444444444,0.5555555555555556,context menu खोलने के लिए अब right click करें,े के लिए अब राईट टलक करें,0.5555555555555556,0.6,0.07933664321899414
xlsr_wav2vec2,clip_0000,598753_406yMKxIdSDHRf8H_0069,598753,babble,babble,15,0.4444444444444444,0.5555555555555556,context menu खोलने के लिए अब right click करें,े के लियए अब राईट कलेक करे दहहन आ वनाठ जियम,1.2222222222222223,0.8666666666666667,0.07501769065856934
xlsr_wav2vec2,clip_0000,598753_406yMKxIdSDHRf8H_0069,598753,babble,babble,10,0.4444444444444444,0.5555555555555556,context menu खोलने के लिए अब right click करें,े के लिए अब स राई मिबलेक करे होंदे ुव गर खा सिमपरसे कंछ्तुम थू टर,1.6666666666666667,1.1777777777777778,0.07780313491821289
xlsr_wav2vec2,clip_0000,598753_406yMKxIdSDHRf8H_0069,598753,babble,babble,5,0.4444444444444444,0.5555555555555556,context menu खोलने के लिए अब right click करें,े के लियं अबर क्पलाई नमुगले अन क रहें िहैयिन्हूसक फोछ सै उसे सया ताह दु,1.7777777777777777,1.3111111111111111,0.08196282386779785
xlsr_wav2vec2,clip_0000,598753_406yMKxIdSDHRf8H_0069,598753,indoor,indoor,15,0.4444444444444444,0.5555555555555556,context menu खोलने के लिए अब right click करें,के लिये अब राईट पलेक करे,0.7777777777777778,0.7111111111111111,0.08582520484924316
xlsr_wav2vec2,clip_0000,598753_406yMKxIdSDHRf8H_0069,598753,indoor,indoor,10,0.4444444444444444,0.5555555555555556,context menu खोलने के लिए अब right click करें,े के लिए अब शराईट खलेक करे,0.6666666666666666,0.6222222222222222,0.07940316200256348
xlsr_wav2vec2,clip_0000,598753_406yMKxIdSDHRf8H_0069,598753,indoor,indoor,5,0.4444444444444444,0.5555555555555556,context menu खोलने के लिए अब right click करें,ह के लिए अब फराईट लेक परे,0.6666666666666666,0.6666666666666666,0.07546138763427734
xlsr_wav2vec2,clip_0001,478254_aVTioioyNUVPGF4t_0153,478254,clean,none,clean,0.1666666666666666,0.8333333333333334,अच्छी bandwidth न मिलने पर आप इसे download करके देख सकते हैं,ंशेत करता हैअछी बंट बेट नाम मिलने पर आपी से रड़ों खरिके देक सकते हैइसप,1.0,0.6666666666666666,0.12044286727905273
xlsr_wav2vec2,clip_0001,478254_aVTioioyNUVPGF4t_0153,478254,traffic,traffic,15,0.1666666666666666,0.8333333333333334,अच्छी bandwidth न मिलने पर आप इसे download करके देख सकते हैं,ंशेत करता है अछी बहंट बेट इनाम मिलने पर आपी से रडोंन खरिके देख सकते हैइस,1.0,0.6666666666666666,0.1172795295715332
